Revenue,Costs,a d'e,MEMBERS,COUPE,Cond,Cafe
3927.43443,3631.31178,6.47,1171,yes,satisfactory,kiosk
3127.65039,2052.55063,5.19,3769,yes,poor,kiosk
1973.28477,2249.88262,6.69,1464,no,satisfactory,machine
4697.08004,4658.82213,2.36,2008,no,satisfactory,kiosk
860.95685,1461.42492,4.45,1312,no,poor,bar
7970.03736,10927.01857,3.11,1771,no,excellent,bar
1854.28320,650.81495,3.19,4913,no,excellent,bar
2478.67140,2187.12394,1.85,2292,yes,poor,kiosk
1030.32396,213.98233,1.88,6238,no,satisfactory,bar
1233.50768,768.05449,6.12,3408,no,satisfactory,bar
4405.18706,1348.57300,1.04,3547,yes,satisfactory,kiosk
1912.46666,297.40492,4.64,4441,no,satisfactory,bar
720.76690,1059.79339,2.74,2412,no,poor,bar
4330.50323,486.99555,1.64,2156,yes,poor,bar
1558.70736,1598.76532,5.29,4400,no,satisfactory,machine
399.27628,318.41438,2.27,2016,no,poor,bar
2222.02300,3897.97217,4.43,3057,no,poor,bar
3884.00945,4678.13018,3.75,984,no,excellent,machine
8192.44475,9425.26923,2.99,824,no,excellent,machine
1945.19554,177.05018,4.33,6681,no,poor,bar
1213.38345,525.57640,3.3,2581,no,poor,kiosk
6439.42412,6395.08633,4.58,1507,no,satisfactory,bar
7814.63035,3634.49607,1.59,2727,yes,poor,kiosk
2838.71045,2617.56901,2.86,885,no,satisfactory,bar
393.44867,107.90592,5.5,2309,yes,poor,bar
2985.33720,2379.79975,3.28,2513,no,satisfactory,machine
2768.56849,2483.93969,3.59,4496,no,satisfactory,kiosk
2502.00158,1893.19514,3.42,2753,yes,poor,bar
2964.99514,3527.82201,6.58,2259,no,poor,machine
2414.12761,3992.61687,2.48,1204,no,satisfactory,machine
1463.13282,1550.41169,3.51,3000,no,satisfactory,kiosk
11575.31450,7395.20334,1.35,4355,no,excellent,bar
4746.60552,4903.31671,2.91,1170,no,excellent,kiosk
900.35749,622.16932,2.97,1602,yes,poor,kiosk
2685.86939,4086.44014,2.48,1628,no,satisfactory,kiosk
3316.08345,384.60310,1.27,2488,yes,poor,machine
2771.19021,4720.48445,3.17,3509,no,excellent,bar
923.81106,1413.89329,1.29,1194,no,satisfactory,bar
1247.22195,845.73122,2.2,4216,no,satisfactory,kiosk
1767.76565,1358.41584,2.44,3305,no,excellent,kiosk
2023.04767,2627.17586,2.61,2717,no,excellent,bar
2994.67343,586.54962,2.87,4357,no,poor,bar
1724.78999,1248.71334,4.88,2958,yes,satisfactory,machine
1698.79443,885.97588,2.65,4572,yes,satisfactory,kiosk
2751.99344,704.00280,4.75,3364,no,satisfactory,kiosk
2091.44296,460.26410,3.18,2060,no,satisfactory,bar
570.72621,729.56015,4.55,1624,yes,excellent,kiosk
558.35936,839.11336,2.46,1613,no,satisfactory,bar
2892.92412,853.57888,1.4,3027,yes,satisfactory,machine
2690.89949,2247.57507,4.57,4265,no,satisfactory,bar
972.90298,890.87262,3.2,5327,no,excellent,kiosk
3569.38665,4772.10089,3.42,1295,no,satisfactory,bar
2962.09097,483.33382,1.57,4423,no,satisfactory,machine
3233.53830,936.14557,2.73,3948,no,poor,kiosk
1683.41314,1285.45341,6.6,5596,yes,poor,kiosk
4278.15439,855.87200,5.88,983,no,satisfactory,bar
1632.30562,1326.22812,5.09,5194,no,satisfactory,bar
1869.38646,3049.78690,3.58,1196,no,poor,bar
2019.35179,936.30290,1.99,5764,yes,excellent,bar
1393.86736,1259.74398,3.43,4004,no,poor,bar
7232.40356,9065.60501,2.31,900,no,excellent,bar
2340.26390,2075.70655,1.31,2994,no,satisfactory,bar
1638.23406,1569.93449,5.82,4639,yes,excellent,bar
1368.78515,926.04693,1.13,3994,no,excellent,bar
1264.44713,108.25453,2.78,1981,yes,poor,bar
2312.64389,2171.94506,4.61,1726,yes,satisfactory,bar
1904.13761,1179.66883,4.28,7453,no,excellent,kiosk
7486.97300,5947.32828,1.77,2740,no,satisfactory,kiosk
1994.68978,504.40452,2.96,5734,yes,satisfactory,bar
1856.62558,578.61686,2.16,987,yes,poor,bar
2297.35829,1920.04700,2.83,3598,no,satisfactory,machine
2079.44160,251.08421,3.37,4451,no,excellent,kiosk
2231.57526,2898.49052,2.92,1883,no,excellent,kiosk
3956.51580,3285.10439,2.64,1625,no,excellent,kiosk
1347.48265,565.75544,1.76,2470,no,satisfactory,bar
2406.91533,270.89250,3.92,957,yes,excellent,kiosk
2345.00724,3298.99236,1.38,4085,no,excellent,machine
4110.89136,2310.20168,4.32,2898,yes,satisfactory,kiosk
1611.62744,1452.65497,1.47,1881,no,poor,machine
3587.76142,2785.25686,4.74,3203,yes,satisfactory,machine
2557.96915,3088.76167,4.57,1776,yes,poor,kiosk
2326.18140,1217.47762,4.73,1588,no,satisfactory,bar
1018.94395,1072.39049,2.42,989,no,poor,machine
3735.33410,3308.82871,2.64,3004,yes,poor,machine
2825.68333,4162.08571,3.81,5045,no,poor,machine
4761.44349,2543.92885,6.54,5747,no,satisfactory,bar
1127.50206,2073.94262,1.91,4716,no,poor,machine
6043.02585,2214.17649,1.94,3667,yes,satisfactory,machine
4584.97303,5702.62648,1.65,5170,no,satisfactory,machine
2593.62166,1891.31684,2.37,4390,no,satisfactory,bar
1115.09627,717.47761,5.38,4771,yes,poor,bar
5353.67362,6764.90706,2.06,1007,yes,excellent,kiosk
5687.83048,6195.89607,1.86,956,no,excellent,machine
2805.40687,5189.69480,2.34,2232,no,satisfactory,kiosk
3744.98568,3328.29315,5.26,1306,yes,excellent,kiosk
2291.40241,1083.30786,2.5,1054,yes,poor,kiosk
2059.35687,1597.79846,3.88,820,no,poor,bar
833.20228,1062.30551,4.07,1602,yes,poor,kiosk
2074.96985,2260.93415,4.35,2319,no,satisfactory,machine
3985.46992,5410.81347,2.3,5579,no,poor,machine
2634.29194,2616.96125,1.31,1854,no,satisfactory,kiosk
2210.87393,3563.76327,1.72,7402,no,satisfactory,machine
3898.31589,1561.23280,3.42,1924,yes,excellent,machine
1570.13436,2412.13973,3.28,3197,no,poor,machine
1207.35610,1262.63092,1.89,5152,no,satisfactory,bar
1736.82542,3366.57760,4.28,927,no,poor,machine
2363.32258,1384.11085,4.87,1784,no,excellent,machine
11333.39943,6007.17798,1.93,5234,no,satisfactory,kiosk
3026.24605,2596.55098,4.22,5487,yes,satisfactory,kiosk
758.27976,1005.75559,4.11,1822,no,excellent,kiosk
459.73477,282.31393,3.52,3364,no,poor,bar
2586.37146,1682.00531,3.78,933,no,satisfactory,bar
2906.22499,368.27072,1.75,5562,yes,poor,machine
