Team Names,STATE,COLLECTED,RND 01,RND 02,RND 03,RND 04,RND 05,RND 06,RND 07,RND 08,RND 09,RND 10,RND 11,RND 12,RND 13,RND 14
Swifts,NSW,"$1,302,202.59","away, 53 for, 58 against, 3331 attended","home, 54 for, 44 against, 4938 attended","away, 59 for, 59 against, 3345 attended","away, 53 for, 62 against, 5260 attended","away, 45 for, 50 against, 3183 attended","home, 54 for, 55 against, 5179 attended","home, 56 for, 59 against, 4666 attended","home, 50 for, 55 against, 4201 attended","home, 54 for, 62 against, 3783 attended","away, 51 for, 48 against, 4763 attended","home, 50 for, 48 against, 3453 attended","away, 50 for, 62 against, 5879 attended","away, 49 for, 63 against, 5263 attended","home, 48 for, 67 against, 3633 attended"
*,essayer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Vixens,VIC,"$2,765,922.37","home, 58 for, 55 against, 3088 attended","away, 52 for, 58 against, 3425 attended","home, 59 for, 59 against, 3345 attended","home, 56 for, 45 against, 3349 attended","away, 66 for, 50 against, 5775 attended","home, 59 for, 51 against, 3767 attended","away, 60 for, 56 against, 5852 attended","away, 75 for, 54 against, 5379 attended","away, 62 for, 54 against, 3783 attended","home, 70 for, 59 against, 4366 attended","home, 66 for, 55 against, 4804 attended","away, 52 for, 56 against, 4411 attended","home, 71 for, 50 against, 5167 attended","away, 68 for, 42 against, 2606 attended"
Thunderbirds,SA,"$694,319.74","home, 56 for, 51 against, 6548 attended","away, 44 for, 54 against, 4938 attended","home, 42 for, 51 against, 7050 attended","away, 45 for, 64 against, 5337 attended","away, 38 for, 53 against, 4196 attended","home, 39 for, 49 against, 6085 attended","away, 40 for, 57 against, 3151 attended","home, 54 for, 75 against, SSSSSSS attended","away, 50 for, 59 against, 4364 attended","home, 48 for, 51 against, 4763 attended","home, 47 for, 49 against, 4288 attended","away, 48 for, 59 against, 4992 attended","away, 50 for, 71 against, 5167 attended","home, 47 for, 49 against, 3719 attended"
Vixens,VIC,"$2,765,922.37","home, 58 for, 55 against, 3088 attended","away, 52 for, 58 against, 3425 attended","home, 59 for, 59 against, 3345 attended","home, 56 for, 45 against, 3349 attended","away, 66 for, 50 against, 5775 attended","home, 59 for, 51 against, 3767 attended","away, 60 for, 56 against, 5852 attended","away, 75 for, 54 against, 5379 attended","away, 62 for, 54 against, 3783 attended","home, 70 for, 59 against, 4366 attended","home, 66 for, 55 against, 4804 attended","away, 52 for, 56 against, 4411 attended","home, 71 for, 50 against, 5167 attended","away, 68 for, 42 against, 2606 attended"
GIANTS,NSW,"-$2,711,503.98","home, 58 for, 53 against, 3331 attended","home, 66 for, 51 against, 3665 attended","away, 59 for, 51 against, 5912 attended","away, 55 for, 54 against, 3835 attended","home, 53 for, 38 against, 4196 attended","away, 51 for, 59 against, 3767 attended","away, 59 for, 56 against, 4666 attended","away, 55 for, 51 against, 5231 attended","home, 56 for, 59 against, 4702 attended","away, 48 for, 45 against, 3333 attended","away, 49 for, 47 against, 4288 attended","home, 56 for, 52 against, 4411 attended","home, 53 for, 56 against, 4834 attended","home, 55 for, 56 against, 4369 attended"
Firebids,QLD,"$1,923,216.19","home, 56 for, 56 against, 5703 attended","home, 50 for, 54 against, 5709 attended","away, 60 for, 47 against, 3607 attended","home, 62 for, 53 against, 5260 attended","home, 50 for, 66 against, 5775 attended","away, 49 for, 39 against, 6085 attended","away, 49 for, 60 against, 3880 attended","home, 51 for, 55 against, 5231 attended","home, 55 for, 50 against, 4724 attended","away, 59 for, 61 against, 5918 attended","away, 55 for, 66 against, 4804 attended","home, 59 for, 48 against, 4992 attended","away, 56 for, 53 against, 4834 attended","away, 67 for, 48 against, 3633 attended"
Lightning,QLD,"$2,944,273.79","away, 56 for, 56 against, 5703 attended","home, 58 for, 52 against, 3425 attended","away, 51 for, 42 against, 7050 attended","home, 54 for, 55 against, 3835 attended","home, 51 for, 50 against, 3448 attended","away, 66 for, 123456789 against, 3500 attended","home, 60 for, 49 against, 3880 attended","away, 55 for, 50 against, 4201 attended","home, 59 for, 50 against, 4364 attended","away, 59 for, 70 against, 4366 attended","away, 56 for, 49 against, 6508 attended","home, 64 for, 50 against, 4804 attended","home, 63 for, 49 against, 5263 attended","away, 56 for, 55 against, 4369 attended"
Fever,WA,"$628,932.97","away, 51 for, 56 against, 6548 attended","away, 51 for, 66 against, 55555555555 attended","home, 47 for, 60 against, 3607 attended","away, 45 for, 56 against, 3349 attended","home, 50 for, 45 against, 3183 attended","home, 49 for, 66 against, 3500 attended","home, 57 for, 40 against, 3151 attended","away, 43 for, 56 against, 5266 attended","away, 50 for, 55 against, 4724 attended","home, 45 for, 48 against, 3333 attended","away, 48 for, 50 against, 3453 attended","away, 50 for, 64 against, 4804 attended","home, 42 for, 49 against, 2889 attended","home, 42 for, 68 against, 2606 attended"
Magpies,VIC,"$2,275,873.75","away, 55 for, 58 against, 3088 attended","away, 54 for, 50 against, 5709 attended","home, 51 for, 59 against, 5912 attended","home, 64 for, 45 against, 5337 attended","away, 50 for, 51 against, 3448 attended","away, 55 for, 54 against, 5179 attended","home, 56 for, 60 against, 5852 attended","home, 56 for, 43 against, 5266 attended","away, 59 for, 56 against, 4702 attended","home, 61 for, 59 against, 5918 attended","home, 49 for, 56 against, 6508 attended","home, 62 for, 50 against, 5879 attended","away, 49 for, 42 against, 2889 attended","away, 49 for, 47 against, 3719 attended"
